"id","regtime(in unixtime)","country","device","app_language","user_language"
"14631141393843352","1470165157","FR","samsung SM-T530","fr","fr_FR"
"16935585665315967","1471246674","AU","samsung SM-G928I","en","en_US"
"19793378391733451","1470720025","DE","samsung SM-G920F","en","ro_RO"
"22798590960817360","1471456266","US","LGE LG-V410","en","en_US"
"21797515900269583","1470916661","AU","samsung SM-T810","en","en_AU"
"26454267918304395","1470581954","BR","samsung SM-G800H","en","pt_BR"
"23298820485928139","1470074321","GB","LGE Nexus 5X","en","en_GB"
"31130541556958332","1470317036","FR","elco Smart_TAB_1003","fr","fr_FR"
"29433729565037610","1470483253","DE","ODYS SCORE_PLUS_3G","de","de_DE"
"34025693232927820","1470767119","RO","LENOVO Lenovo A2010-a","en","ro_RO"
"32010955240297591","1471531380","US","samsung SM-S975L","en","en_US"
"38562832128468124","1470197979","DE","unknown TAD-97072G","de","de_DE"
"34683224663589900","1471174973","DE","samsung GT-I9301I","de","de_DE"
"36886645568435287","1470942061","FR","samsung GT-P5110","fr","fr_FR"
"38109066685654160","1470062032","DE","samsung GT-I9505","de","de_DE"
"471093111776277","1471394285","US","samsung SM-G360T","en","en_US"
"43435055291819116","1470929193","DE","Sony D5803","de","de_DE"
"53196538814456892","1471082990","DE","samsung GT-P5210","de","de_DE"
"60376b83bc865934be37dceb40c4622b","1472206081","FR","samsung SM-G531F","fr","fr_FR"
"58959887883588741","1471197383","BR","LGE LG-E410f","en","pt_BR"
"5fdbb219f27f5be6ce66ea0d38ae5dee","1471793825","CA","Hipstreet 10DTB12-16MGK","en","en_CA"
"580da216031deaa9057a77867639a087","1472650861","NL","samsung GT-I9505","en","nl_NL"
"53896952578254025","1470295432","DE","Lenovo Lenovo A7600-F","de","de_DE"
"54261769043776625","1471460888","US","TCL 5054N","en","en_US"
"69723149149336724","1471026072","US","samsung SM-G920P","en","en_US"
"6a4151a71c15b8c7fa17fdaf3e123fab","1471685946","DE","samsung SM-G920F","de","de_DE"
"89411bbf21a301645cb82609f1f18780","1472296921","FR","WIKO LENNY2","fr","fr_FR"
"70846890288288848","1470763373","DE","samsung SM-G900F","de","de_DE"
"e8a645ec9ef7c54230601af71e6d1e77","1471820225","US","TCL 5054N","en","en_US"
"b3f00b04f5b954fca6f5ec7a57742dc7","1472135823","FR","samsung SM-N910F","fr","fr_FR"
"c3478e31d40cd036a465d942d5f44cb1","1472224201","FR","samsung SM-N9005","fr","fr_FR"
"ce7ab60375ca24f613555345cc04dafc","1471971006","US","samsung SM-S765C","en","en_US"
"dd2d66e97b1fdfc1d99c75ca6a682d41","1471783985","GB","asus P023","en","en_GB"
"c3a6bfdb25f101746580dc052feae12e","1472484599","FR","samsung SM-G531F","fr","fr_FR"
"ff1f4022f92f4874c614227a28572a6a","1471909204","US","ZTE Z959","en","en_US"
"eff384604b1c8860e1f65f59086df057","1471818126","AT","samsung SM-J500FN","de","de_DE"
"007492af7881de83dcfa556e4d00f0b5","1472632258","FR","samsung SM-T113","fr","fr_FR"
"01155af77ee4c5177e99f09302c7a0c6","1472458500","DE","samsung SM-G920F","de","de_DE"
"02ac35840b78ad40ebcbb789f6a7da12","1472607957","US","motorola Moto G (4)","en","en_US"
"02ba9666d46e523be0598222e4c33024","1472421124","ES","Sunstech TAB92QC-8GB","en","es_ES"
"02cd206a21b52e98769958f128b8b607","1472395920","RO","samsung SM-J500H","ru","ru_RU"
"01242f8d82452fa0446fa06024c8c0d4","1472432639","US","motorola XT1056","en","en_US"
"0294f5361faa0702742b653bad1237f0","1472239983","GB","samsung GT-I9505","en","en_GB"
"04e47de914ed4b33719db60eecd4bbfb","1472399960","IT","asus ME173X","en","it_IT"
"03e22abed82ec41296357db1905bd40b","1472611258","FR","samsung SM-T550","fr","fr_FR"
